|Unnamed: 0|Name|Deutscher Name|UUID des Taxons|UUID des direkt übergeordneten Taxons|Synonyme|Konzeptbeziehungen|Jahrzehnt|Auswertung|Taxa|Arten|Oberste Taxa|Status|Neobiota|Aktuelle Bestandssituation|kurzfristiger Bestandstrend|Langfristiger Bestandstrend|Sonderfälle|Letzter Nachweis|RL Kat.|Risikofaktoren|Risikofaktoren (Kürzel 1)|Risikofaktoren (Kürzel 2)|Risikofaktoren (Kürzel 3)|Taxonomischer Bezug|alte RL- Kat.|Kat. +/-|Grund der Kategorieänderung 1|Grund der Kategorieänderung 2|Grund der Kategorieänderung 3|Kommentar zur Taxonomie|Kommentar zur Gefährdung|Kommentar zur Nachsuche|Weitere Kommentare|Anteil|Lage|Gefährdung|Verantwortlichkeit|Endemit|Kommentar zur Verantwortlichkeit
0|0|Abies alba Mill.|Weiß-Tanne|59741e11-77a7-4e09-bf48-2f0440183304|||≙Abies alba Mill.||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||≙|3|+|R|||||||A1|Lr|G+|||
1|1|Abutilon theophrasti Medik.|Samtpappel|05780297-dc66-4148-a93c-6e9137959ac4|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
2|2|Acer campestre L.|Feld-Ahorn|10ada6fb-fd6d-495f-a0e3-dbc7d3683dc5|||≙Acer campestre L.||S|Taxa|Arten|Oberste Taxa|I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lh|G+|||
3|3|Acer monspessulanum L.|Französischer Ahorn|b83cffdf-99ea-429a-aac4-6f2ea9f8b640|||≙Acer monspessulanum L.||M||Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
4|4|Acer monspessulanum subsp. monspessulanum|Französischer Ahorn|eef98938-02df-4c56-b42b-4de9b551f43a|b83cffdf-99ea-429a-aac4-6f2ea9f8b640|Acer monspessulanum|≙Acer monspessulanum||I|Taxa|||I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
5|5|Acer negundo L.|Eschen-Ahorn|4ab3307e-5233-449f-bd2b-600636ab82ab|||≙Acer negundo L.||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb|||||≙|*||||||||Die Art wird als invasiv eingestuft (Nehring et al. 2013).||||nb||
6|6|Acer opalus Mill.|Schweizer Ahorn|9995d04a-d408-4719-98bd-a15c78c39cab|||≙Acer opalus Mill.||S|Taxa|Arten|Oberste Taxa|I||Extrem selten|=|Gleich bleibend|||R|=||||≙|R|=||||||||A0|Lr|G+|||
7|7|Acer platanoides L.|Spitz-Ahorn|56681afc-1d21-45f8-bfe3-32c94b5f63a5|||≙Acer platanoides L.||S|Taxa|Arten|Oberste Taxa|I||Sehr häufig|^|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lh|G+|||
8|8|Acer pseudoplatanus L.|Berg-Ahorn|6e4b4a58-285b-4b28-952e-5cc2a0697bf8|||≙Acer pseudoplatanus L.||S|Taxa|Arten|Oberste Taxa|I||Sehr häufig|^|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lz|G+|!||
9|9|Achillea atrata L.|Schwarzrandige Schafgarbe|677cc802-1c02-413a-9e33-388b3f36b4da|||≙Achillea atrata L.||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
10|10|Achillea clavenae L.|Bittere Schafgarbe|2bd5aea7-a7b6-4e88-88c0-3e2b4fbd7061||Achillea clavennae|≙Achillea clavennae||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
11|11|Achillea crithmifolia Waldst. & Kit.|Meerfenchelblättrige Schafgarbe|19ff122d-814a-46e7-825d-d33a1fdb9d9a|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
12|12|Achillea macrophylla L.|Großblättrige Schafgarbe|f2bea21a-1137-4508-8144-ba9301fb66bb|||≙Achillea macrophylla L.||S|Taxa|Arten|Oberste Taxa|I||Extrem selten|=|Gleich bleibend|||R|=||||≙|*|-|K|||||||A0|Lr|G+|||
13|13|Achillea millefolium agg.|Gewöhnliche Schafgarbe (Artengruppe)|741d602f-46b9-4800-972b-3cfd7ee0cfce|||≙Achillea millefolium agg.||A|||Oberste Taxa|I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|nb||||||||||||nb||
14|14|Achillea collina (Wirtg.) Heimerl|Hügel-Schafgarbe|212a4f38-c212-4fbb-ac46-abbe8188f43e|741d602f-46b9-4800-972b-3cfd7ee0cfce||≙Achillea collina (Wirtg.) Heimerl||K|Taxa|Arten||I||Unbekannt|?|Daten ungenügend|||D|=||||≙|*| ||||||||A0|Lr|G+|||
15|15|Achillea millefolium L.|Gewöhnliche Schafgarbe|6eb456d3-c60f-4253-afae-f4f95df3b2ab|741d602f-46b9-4800-972b-3cfd7ee0cfce||≙Achillea millefolium L.||T||Arten||I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|*|=|||||||In nicht regionalisierten Ansaatmischungen enthalten.|A0|Lh|G+|||
16|16|Achillea millefolium subsp. millefolium|Gewöhnliche Schafgarbe|106ee2f5-a412-4671-87f3-b8c3386a1855|6eb456d3-c60f-4253-afae-f4f95df3b2ab||≙Achillea millefolium subsp. millefolium||F|Taxa|||I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
17|17|Achillea millefolium subsp. sudetica (Opiz) Oborny|Gebirgs-Wiesen-Schafgarbe|aaaa2ab1-986d-45cd-94ac-3f3c7837ea11|6eb456d3-c60f-4253-afae-f4f95df3b2ab||≙Achillea millefolium subsp. sudetica (Opiz) Oborny||F|Taxa|||I||Unbekannt|?|Daten ungenügend|||D|=||||≙|*| ||||||||A0|Lr|G+|||
